"vtkOriginalPointIds","Points:0","Points:1","Points:2"
0,-0.1311,-0.1311,-0.1311
2,-0.1311,0.1311,-0.1311
4,-0.1311,-0.1311,0.1311
6,-0.1311,0.1311,0.1311
11,-0.1311,0,-0.1311
15,-0.1311,0,0.1311
16,-0.1311,-0.1311,0
19,-0.1311,0.1311,0
24,-0.1311,0,0
30,-0.1311,-0.065551,-0.1311
34,-0.1311,-0.065551,0
35,-0.1311,-0.1311,-0.065551
38,-0.1311,0,-0.065551
49,-0.1311,0.065551,-0.1311
52,-0.1311,0.065551,0
54,-0.1311,0.1311,-0.065551
63,-0.1311,-0.065551,0.1311
64,-0.1311,-0.1311,0.065551
67,-0.1311,0,0.065551
75,-0.1311,0.065551,0.1311
77,-0.1311,0.1311,0.065551
85,-0.1311,-0.065551,-0.065551
95,-0.1311,0.065551,-0.065551
104,-0.1311,-0.065551,0.065551
112,-0.1311,0.065551,0.065551
