"vtkOriginalPointIds","Points:0","Points:1","Points:2"
17,6,-1,0.15578
18,6,-0.99981,1
19,6,-0.17251,-0.24446
20,6,-0.031251,1
21,6,-1,-1
22,6,-0.034767,-1
23,6,1,-1
24,6,1,0.072266
25,6,1,1
34,6,0.40545,0.37491
135,6,-0.61659,0.66422
151,6,0.64955,-0.60522
202,5.528,1,1
203,6,1,0.52473
218,6,0.056734,0.05922
294,6,-0.59159,-0.04381
334,6,-0.21383,0.36597
341,6,0.32907,-0.29257
378,6,-1,0.56738
392,5.7042,1,-0.68598
415,5.406,-1,1
443,6,0.68621,0.67946
445,6,-0.77713,-0.22344
506,5.9979,-1,-0.44105
514,6,-0.59486,-0.5662
541,6,0.13733,-0.63031
634,6,1,-0.4445
726,6,0.48167,1
729,6,0.46182,-1
737,6,-0.080679,-0.61194
751,6,-0.6268,0.26515
1011,6,0.23272,0.66726
1068,5.7259,0.73608,-1
1081,6,-0.51315,-1
1088,6,-0.51563,1
1110,5.6804,-1,-0.11939
1137,6,0.43038,-0.6151
1209,6,0.67228,-0.079651
1357,5.6773,0.79365,1
1387,5.3886,-1,-1
1509,6,-0.32514,-0.77358
1589,6,-0.79608,0.42229
1619,6,0.70198,0.23267
1638,6,0.39042,0.038279
1682,5.5479,1,0.12585
1695,6,0.14917,0.37557
1726,6,-0.38261,0.69029
1745,6,0.68534,-0.37126
1790,5.73,-0.21327,1
1800,5.6859,0.31929,1
1841,6,-0.13815,0.69737
2023,6,-0.20932,0.066313
2087,6,0.46465,0.68521
2151,6,0.74745,0.47429
2163,5.7089,0.092778,1
2296,5.6996,-1,-0.40312
2324,5.748,1,0.73137
2372,5.6641,0.99458,-1
2374,5.7209,-1,1
2379,5.702,0.5249,1
2408,5.7098,-0.084374,-1
2411,5.7094,1,-0.41367
2446,5.7067,-1,-1
2591,6,-0.9977,-0.16776
2640,5.4474,-0.11973,1
2704,6,-0.58812,-0.27505
2754,6,0.56248,0.14231
2768,6,-0.40652,-0.42931
2769,6,-0.77275,-0.74138
2776,5.5299,-1,0.12243
2857,5.9989,-1,-0.72052
2893,6,0.088158,-0.26135
2924,6,-0.42075,0.16161
2943,5.73,-0.45545,1
3042,6,0.00064703,-0.44906
3242,6,1,-0.17644
3243,6,1,-0.70332
3300,6,-0.008564,0.54778
3464,5.5088,1,-0.1226
3651,5.7026,0.48333,-1
3669,6,0.69552,1
3670,6,0.28974,1
3703,6,0.70513,-1
3704,6,0.22884,-1
4212,5.6075,-0.040276,1
4444,6,-0.31541,-1
4445,6,-0.76038,-1
4446,6,-0.33385,-0.62198
4471,6,-0.30005,1
4472,6,-0.7434,1
4539,5.5791,0.040434,-1
4556,6,0.24884,0.18775
4587,6,-0.45498,0.51965
4588,6,-0.8134,0.84889
4637,6,0.82301,-0.25114
4638,6,0.84007,-0.82205
4639,6,0.30736,-0.76789
4640,6,0.53531,-0.46075
4674,5.7646,1,0.11114
4998,5.364,0.28276,-1
5062,6,-0.24401,0.82342
5064,5.7676,1,1
5065,5.3027,1,1
5085,5.9948,1,0.32612
5086,6,1,0.68397
5185,5.8447,0.18384,1
5253,6,0.22483,-0.095923
5254,6,-0.038907,0.20298
5449,5.5747,-1,-0.5124
5450,5.8208,-1,-0.80133
5559,5.7718,-0.55298,-1
5598,5.3325,-0.60823,-1
5645,5.5488,1,0.36767
5670,5.3224,-0.2629,1
5708,6,-0.39897,-0.11832
5709,6,-0.74455,0.063267
5741,5.7808,1,0.51562
5795,5.3303,-0.51665,1
5832,6,-0.76686,-0.51238
5923,5.5447,1,-0.81338
6020,5.6025,-0.58617,1
6167,6,-1,0.75997
6168,6,-1,0.39212
6169,6,-0.61461,0.47702
6204,5.8186,0.6259,1
6243,5.8292,1,-0.83788
6244,5.8243,1,-0.28327
6333,5.3566,0.60368,-1
6335,5.555,0.85898,-1
6502,6,0.57535,0.56506
6503,6,0.87202,0.84457
6504,6,0.35029,0.81927
6505,6,0.85424,0.38786
6509,6,-0.70889,-0.36653
6510,6,-0.87113,-0.053783
6556,5.6152,-0.87533,-1
6609,5.8532,-1,0.84845
6610,5.8372,-1,0.42138
6612,5.5582,-1,0.54677
6623,6,-0.40614,-0.27258
6768,6,-0.88959,-0.59025
6998,6,0.57241,-0.77319
7001,6,0.24057,-0.46582
7002,6,0.047237,-0.80612
7145,5.4546,0.79799,1
7361,5.8555,-0.34934,1
7408,5.5612,0.46242,1
7834,6,-0.14471,-0.41679
7835,6,-0.10404,-0.7615
7836,6,-0.54428,-0.78228
7837,6,0.11974,-0.45733
7909,6,-0.78724,0.62496
7910,6,-0.41764,0.018189
7911,6,-0.41745,0.32702
7912,6,-0.76736,0.21446
8250,5.617,-0.23337,-1
8661,5.8515,-0.63672,1
8662,5.8277,-0.85137,1
9108,6,0.2947,0.51632
9110,6,0.08272,0.84927
9111,6,0.59345,0.82766
9479,5.613,0.59992,-1
9480,5.2978,0.85647,-1
9481,5.8291,0.35679,-1
9483,5.8265,0.83596,-1
9517,6,-0.044089,-0.079924
9695,5.5348,-1,-0.2375
9696,5.7841,-1,-0.019419
9844,6,0.44785,-0.79049
9845,6,0.70655,-0.79903
9846,6,0.18898,-0.79846
9847,6,0.39935,-0.459
10007,5.8177,1,-0.57086
10009,5.8511,1,-0.042611
10145,5.8523,-1,-0.54758
10201,6,0.84566,0.0027243
10202,6,0.81223,-0.54581
10204,6,0.54491,-0.15726
10397,5.8263,0.60817,-1
10399,5.613,0.34259,-1
10400,5.8494,0.11886,-1
10961,5.6516,-1,0.084339
11018,5.8548,0.90184,1
11021,5.3794,0.90851,1
11250,5.6647,-0.43445,-1
11251,5.8657,-0.20435,-1
11434,5.6533,1,-0.0024638
11736,5.8549,1,0.62335
11739,5.8703,1,0.21923
11805,6,-0.24728,-0.51884
11806,6,-0.46606,-0.67255
11807,6,-0.65058,-0.86764
11808,6,-0.20445,-0.87402
12174,5.2673,0.53257,1
12251,6,-0.8758,0.69314
12252,6,-0.70208,0.55135
12253,6,-0.52813,0.40273
12254,6,-0.87246,0.30477
12424,6,0.6063,0.28664
12427,6,0.54171,-0.00093792
12428,6,0.87788,0.14416
12429,6,0.84202,0.60726
12544,6,0.10862,0.19448
12545,6,0.37537,-0.11644
12546,6,0.39948,0.19618
12547,6,0.70929,0.062973
12803,5.4801,1,0.27115
12871,6,0.076309,0.69287
12872,6,-0.0054947,0.36338
12873,6,0.28215,0.36063
12874,6,0.228,0.052806
12925,5.3893,-0.462,-1
13061,6,-0.33494,0.55542
13062,6,-0.69231,0.84889
13064,6,-0.46798,0.81788
13178,6,0.84267,-0.41757
13180,6,0.81945,-0.67094
13181,6,0.83014,-0.12402
13182,6,0.52802,-0.32496
13439,5.6156,-0.28162,1
13440,5.8293,-0.12383,1
13513,5.8246,0.40505,1
13514,5.574,0.26039,1
13517,5.3335,-0.39917,1
13784,6,-0.19801,0.54666
13785,6,0.16664,0.53976
13786,6,-0.34694,0.83823
13787,6,-0.57572,0.83111
13789,6,-0.086836,0.84889
13900,5.855,-1,0.63028
13903,5.5717,-1,0.2882
13905,5.8451,-1,0.17475
14131,5.4335,1,-0.55404
14332,5.658,1,0.87978
14805,5.6643,-0.67176,-1
15070,6,-0.21021,-0.083725
15071,6,-0.24683,0.20141
15072,6,-0.60149,0.10889
15073,6,0.076151,-0.096041
15078,5.6587,1,0.24726
15485,6,0.43941,0.53405
15486,6,0.71582,0.81806
15488,6,0.47215,0.83097
15489,6,0.23007,0.82128
15811,5.8645,-1,0.53057
15812,5.8631,-1,0.32129
15813,5.8532,-1,0.7403
15962,6,0.8698,0.71325
15963,6,0.60924,0.43185
15965,6,0.8521,0.26737
15966,6,0.8788,0.5047
15988,5.7107,0.080499,-1
16041,5.5959,-0.16209,1
16042,5.8147,0.029537,1
16046,5.8392,0.29508,1
16189,5.7287,-0.60854,1
16944,5.8384,-1,-0.42579
16947,5.8354,-1,-0.66596
17129,5.6521,1,0.62722
17130,5.863,1,0.42522
17131,5.8671,1,0.83732
17482,5.2675,1,-1
17483,5.5316,1,-1
17484,5.8062,1,-1
17488,5.5747,1,-0.69506
17489,5.8639,-1,1
17493,5.5545,-1,1
17498,5.8358,-0.74158,1
17524,5.8364,0.74967,1
17527,5.5658,0.36417,1
17528,5.828,0.50654,1
17750,5.6463,-0.33059,-1
17752,5.8549,-0.056835,-1
17792,5.5934,1,-0.39942
17794,5.8358,1,-0.70604
17795,5.8232,1,-0.4287
17796,5.8442,1,-0.16497
18060,5.6295,-0.78117,-1
18061,5.5601,-1,-1
18062,5.8233,-1,-1
18063,5.5694,-1,-0.63564
19104,6,-0.81269,-0.39189
19105,5.9984,-1,-0.29709
19106,6,-1,-0.038774
19117,6,-0.88124,-0.32565
19458,5.4937,-0.26792,1
19459,5.7166,-0.086119,1
19461,5.4607,0.0084595,1
19926,6,-0.59841,-0.16472
19927,6,-0.59008,-0.39978
19928,6,-0.75023,-0.090615
