"vtkOriginalPointIds","Points:0","Points:1","Points:2"
2,-0.1311,0.1311,-0.1311
3,0.1311,0.1311,-0.1311
6,-0.1311,0.1311,0.1311
7,0.1311,0.1311,0.1311
10,0,0.1311,-0.1311
14,0,0.1311,0.1311
18,0.1311,0.1311,0
19,-0.1311,0.1311,0
23,0,0.1311,0
48,-0.065551,0.1311,-0.1311
51,-0.065551,0.1311,0
53,0,0.1311,-0.065551
54,-0.1311,0.1311,-0.065551
56,0.065551,0.1311,-0.1311
58,0.065551,0.1311,0
59,0.1311,0.1311,-0.065551
74,-0.065551,0.1311,0.1311
76,0,0.1311,0.065551
77,-0.1311,0.1311,0.065551
79,0.065551,0.1311,0.1311
80,0.1311,0.1311,0.065551
94,-0.065551,0.1311,-0.065551
99,0.065551,0.1311,-0.065551
111,-0.065551,0.1311,0.065551
115,0.065551,0.1311,0.065551
