"vtkOriginalPointIds","Points:0","Points:1","Points:2"
1,0.1311,-0.1311,-0.1311
3,0.1311,0.1311,-0.1311
5,0.1311,-0.1311,0.1311
7,0.1311,0.1311,0.1311
9,0.1311,0,-0.1311
13,0.1311,0,0.1311
17,0.1311,-0.1311,0
18,0.1311,0.1311,0
25,0.1311,0,0
40,0.1311,-0.065551,-0.1311
43,0.1311,-0.065551,0
45,0.1311,-0.1311,-0.065551
46,0.1311,0,-0.065551
55,0.1311,0.065551,-0.1311
57,0.1311,0.065551,0
59,0.1311,0.1311,-0.065551
69,0.1311,-0.065551,0.1311
71,0.1311,-0.1311,0.065551
72,0.1311,0,0.065551
78,0.1311,0.065551,0.1311
80,0.1311,0.1311,0.065551
91,0.1311,-0.065551,-0.065551
100,0.1311,0.065551,-0.065551
109,0.1311,-0.065551,0.065551
116,0.1311,0.065551,0.065551
