"vtkOriginalPointIds","Points:0","Points:1","Points:2"
3,-1.0,1.0,-1.0
4,1.0,1.0,1.0000009536743164
5,1.0,1.0,-1.0
7,-1.0,1.0,1.0
9,0.0,1.0,-1.0
14,0.0,1.0,1.0000004768371582
15,-1.0,1.0,0.0
16,0.0,1.0,4.76837158203125e-07
21,1.0,1.0,4.76837158203125e-07
27,0.5,1.0,-1.0
32,-0.5,1.0,1.000000238418579
33,-1.0,1.0,0.5
34,0.5,1.0,0.5000007152557373
39,1.0,1.0,-0.4999997615814209
45,-0.5,1.0,-1.0
50,0.5,1.0,1.0000007152557373
51,-1.0,1.0,-0.5
52,-0.5,1.0,-0.4999997615814209
57,1.0,1.0,0.5000007152557373
74,0.0,1.0,0.5000004768371582
75,-0.5,1.0,2.384185791015625e-07
76,-0.5,1.0,0.5000002384185791
92,0.5,1.0,-0.4999997615814209
93,0.0,1.0,-0.4999997615814209
94,0.5,1.0,4.76837158203125e-07
99,0.75,1.0,-1.0
104,-0.75,1.0,1.0000001192092896
105,-1.0,1.0,0.75
106,0.75,1.0,0.7500008344650269
111,1.0,1.0,-0.7499998807907104
117,-0.25,1.0,-1.0
122,0.25,1.0,1.0000005960464478
123,-1.0,1.0,-0.25
124,-0.25,1.0,-0.24999964237213135
129,1.0,1.0,0.25000059604644775
146,0.0,1.0,0.7500004768371582
147,-0.75,1.0,1.1920928955078125e-07
148,-0.75,1.0,0.25000011920928955
164,0.75,1.0,-0.24999964237213135
165,0.0,1.0,-0.24999964237213135
166,0.25,1.0,4.76837158203125e-07
171,0.25,1.0,-1.0
176,-0.25,1.0,1.0000003576278687
177,-1.0,1.0,0.25
178,0.25,1.0,0.25000059604644775
183,1.0,1.0,-0.24999964237213135
189,-0.75,1.0,-1.0
194,0.75,1.0,1.0000008344650269
195,-1.0,1.0,-0.75
196,-0.75,1.0,-0.7499998807907104
201,1.0,1.0,0.7500008344650269
218,0.0,1.0,0.2500004768371582
219,-0.25,1.0,3.5762786865234375e-07
220,-0.25,1.0,0.7500003576278687
236,0.25,1.0,-0.7499998807907104
237,0.0,1.0,-0.7499998807907104
238,0.75,1.0,4.76837158203125e-07
251,0.75,1.0,0.25000059604644775
252,0.5,1.0,0.25000059604644775
253,0.75,1.0,0.5000007152557373
254,0.5,1.0,-0.24999964237213135
255,0.25,1.0,-0.4999997615814209
256,0.25,1.0,-0.24999964237213135
257,0.75,1.0,-0.7499998807907104
258,0.5,1.0,-0.7499998807907104
259,0.75,1.0,-0.4999997615814209
305,-0.5,1.0,0.7500002384185791
306,-0.75,1.0,0.5000001192092896
307,-0.75,1.0,0.7500001192092896
308,-0.25,1.0,0.5000003576278687
309,-0.25,1.0,0.25000035762786865
310,-0.5,1.0,0.2500002384185791
311,0.5,1.0,0.7500007152557373
312,0.25,1.0,0.5000005960464478
313,0.25,1.0,0.7500005960464478
362,-0.5,1.0,-0.2499997615814209
363,-0.75,1.0,-0.49999988079071045
364,-0.75,1.0,-0.24999988079071045
380,-0.25,1.0,-0.7499998807907104
381,-0.5,1.0,-0.7499998807907104
382,-0.25,1.0,-0.4999997615814209
